,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,Basic_psc_pci_2,Basic_psc_pci_3,Basic_psc_pci_4,Basic_psc_pci_5,Basic_psc_pci_6,MRTime,Lon,Lat,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,conf,error,Longitude,Latitude,p_gid,gid
30,9,6266,8966933,53,-87,4,2147483647,2147483647,45,-95,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,320,102,314,-1.0,-1.0,1521795824502,121.494185,31.286931,13,97.0,95.0,44.0,-1.0,-1.0,1,4.5,121.49673641,31.28658099,11,11
31,1,6266,8966687,58,-82,4,2147483647,2147483647,58,-82,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-999.0,0,-999.0,-999.0,-999.0,0,104,416,-1,-1.0,-999.0,1521793637400,121.493365,31.283989,17,57.0,59.0,-1.0,-1.0,-1.0,1,8.9,121.49256986,31.2843444,23,23
32,8,6266,8914443,76,-64,4,2147483647,2147483647,62,-78,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-999.0,0,-999.0,-999.0,-999.0,0,48,489,-1,-1.0,-999.0,1521795371844,121.497708,31.282674,1,62.0,0.0,-1.0,-1.0,-1.0,1,1.3,121.49629703,31.28354031,13,13
33,4,6266,8914443,48,-92,4,2147483647,2147483647,42,-98,3,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,389,246,103,90.0,92.0,1521794552385,121.497708,31.282674,1,63.0,136.0,2.0,152.0,64.0,1,0.6,121.50135039,31.28496175,20,20
34,10,6266,8966677,59,-81,4,2147483647,2147483647,41,-99,3,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,388,104,319,92.0,314.0,1521796115645,121.49548,31.283645,18,105.0,87.0,66.0,67.0,86.0,1,2.7,121.49546815,31.28620791,21,21
35,11,6266,8914443,49,-91,4,2147483647,2147483647,49,-91,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,103,102,-1,-1.0,-1.0,1521796345886,121.497708,31.282674,1,2.0,7.0,-1.0,-1.0,-1.0,1,4.7,121.49525965,31.28490205,3,3
36,0,6266,12842763,72,-68,4,2147483647,2147483647,67,-73,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,416,388,-1,-1.0,-1.0,1521792779503,121.49826,31.285127,4,11.0,10.0,-1.0,-1.0,-1.0,1,10.9,121.49607062,31.28294881,8,8
37,0,6266,8966667,69,-71,4,2147483647,2147483647,47,-93,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,90,319,-1,-1.0,-1.0,1521793476186,121.493758,31.285023,16,52.0,53.0,-1.0,-1.0,-1.0,1,1.5,121.4932758,31.28588549,1,1
38,5,6266,8966677,61,-79,4,2147483647,2147483647,54,-86,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,416,103,-1,-1.0,-1.0,1521794697875,121.49548,31.283645,18,65.0,61.0,-1.0,-1.0,-1.0,1,4.1,121.49739607,31.285062,25,25
39,9,6266,8966933,69,-71,4,-1,0,-1,-1,-1,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1.0,-1.0,1521795871181,121.494185,31.286931,13,-1.0,-1.0,-1.0,-1.0,-1.0,0,198.2,121.4966909,31.28661194,26,11
