ECGI_Raw,PCI,1F_UARFCN,制式,TAC,经度,维度,方向角,下倾角,天线挂高,小区类型,参考信号功率,A,B,ECGI
10731787,497,1650,L1800,6257,121.68207,31.21286,360,0,0,微小区,152,41921,11,10734614
10731797,498,1650,L1800,6257,121.68207,31.21286,360,0,0,微小区,152,41921,21,10734624
10731807,499,1650,L1800,6257,121.68207,31.21286,360,0,0,微小区,152,41921,31,10734634
10732043,494,1650,L1800,6194,121.497101,31.167126,360,0,0,微小区,152,41922,11,10734870
10732053,495,1650,L1800,6194,121.497101,31.167126,360,0,0,微小区,152,41922,21,10734880
10732063,496,1650,L1800,6194,121.497101,31.167126,360,0,0,微小区,152,41922,31,10734890
10732073,497,1650,L1800,6194,121.497101,31.167126,360,0,0,微小区,152,41922,41,10734900
10732299,482,1650,L1800,6248,121.49171,31.37959,360,0,0,微小区,122,41923,11,10735126
10732309,483,1650,L1800,6248,121.49171,31.37959,360,0,0,微小区,122,41923,21,10735136
10732319,484,1650,L1800,6248,121.49171,31.37959,360,0,0,微小区,122,41923,31,10735146
10732555,472,1650,L1800,6264,121.3257,31.2064,360,0,0,微小区,152,41924,11,10735382
10732811,478,1650,L1800,6254,121.48638,31.23055,360,0,0,微小区,152,41925,11,10735638
10733067,479,1650,L1800,6247,121.43777,31.36765,360,0,0,微小区,152,41926,11,10735894
10733077,480,1650,L1800,6247,121.43777,31.36765,360,0,0,微小区,152,41926,21,10735904
10733087,481,1650,L1800,6247,121.43777,31.36765,360,0,0,微小区,152,41926,31,10735914
10733323,474,1650,L1800,6188,121.34677,31.22264,360,0,0,微小区,152,41927,11,10736150
10733333,475,1650,L1800,6188,121.34677,31.22264,360,0,0,微小区,152,41927,21,10736160
10733343,476,1650,L1800,6188,121.34677,31.22264,360,0,0,微小区,152,41927,31,10736170
10733835,479,1650,L1800,6158,121.39657,31.32336,360,0,0,微小区,152,41929,11,10736662
10733845,480,1650,L1800,6158,121.39657,31.32336,360,0,0,微小区,152,41929,21,10736672
10733836,479,450,L2100,6158,121.39657,31.32336,360,0,0,微小区,152,41929,12,10736663
10733846,480,450,L2100,6158,121.39657,31.32336,360,0,0,微小区,152,41929,22,10736673
10734091,473,1650,L1800,6177,121.34847,31.24464,360,0,0,微小区,152,41930,11,10736918
10734101,474,1650,L1800,6177,121.34847,31.24464,360,0,0,微小区,152,41930,21,10736928
10734111,475,1650,L1800,6177,121.34847,31.24464,360,0,0,微小区,32,41930,31,10736938
10734121,476,1650,L1800,6177,121.34847,31.24464,360,0,0,微小区,152,41930,41,10736948
10734347,467,1650,L1800,6168,121.41028,31.27104,360,0,0,微小区,152,41931,11,10737174
10734357,468,1650,L1800,6168,121.41028,31.27104,360,0,0,微小区,152,41931,21,10737184
10734367,469,1650,L1800,6168,121.41028,31.27104,360,0,0,微小区,152,41931,31,10737194
10734603,492,1650,L1800,6198,121.52678,31.22538,360,0,0,微小区,152,41932,11,10737430
10734613,493,1650,L1800,6198,121.52678,31.22538,360,0,0,微小区,152,41932,21,10737440
10734859,54,1650,L1800,6146,121.50119,31.23118,360,0,0,微小区,152,41933,11,10737686
10734869,64,1650,L1800,6146,121.50119,31.23118,360,0,0,微小区,152,41933,21,10737696
10735371,470,1650,L1800,6193,121.50709,31.19738,360,0,0,微小区,152,41935,11,10738198
10735627,474,1650,L1800,6198,121.52643,31.21977,360,0,0,微小区,152,41936,11,10738454
10735637,475,1650,L1800,6198,121.52643,31.21977,360,0,0,微小区,152,41936,21,10738464
10735883,484,1650,L1800,6265,121.54799,31.22768,360,0,0,微小区,152,41937,11,10738710
10735893,485,1650,L1800,6265,121.54799,31.22768,360,0,0,微小区,122,41937,21,10738720
10735903,486,1650,L1800,6265,121.54799,31.22768,360,0,0,微小区,122,41937,31,10738730
