,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,conf,error,Longitude,Latitude,p_gid,gid,rss_level_1,rss_level_2,rss_level_3,rss_level_4,rss_level_5,rss_level_6
6144,22,6153,28032,24,-65,4,0,0,17,-79,4,6362.0,30092.0,16.0,-81.0,4.0,6153.0,27912.0,23.0,-67.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1.53e+12,18,-999.0,103.0,23.0,-999.0,-999.0,121.50187,31.284054,-999.0,-999.0,121.503238,31.283468,121.501757,31.285306,-999.0,-999.0,-999.0,-999.0,1,35.1,121.5030151,31.28368295,18,35,3,4,5,3,8,8
370,2,4199,29753,23,-67,4,4199,18467,31,-51,4,4199.0,29752.0,22.0,-69.0,4.0,4199.0,18468.0,19.0,-75.0,4.0,4199.0,18469.0,21.0,-71.0,4.0,-1.0,0.0,-1.0,-1.0,-1.0,1,1.52e+12,5,2.0,6.0,17.0,11.0,-999.0,121.492659,31.283734,121.496847,31.283612,121.494757,31.284161,121.497084,31.281895,121.496153,31.281763,-999.0,-999.0,1,39.7,121.4963096,31.28361779,2,2,3,2,3,4,4,1
328,1,6153,28032,31,-51,4,6153,27903,22,-69,4,6153.0,27912.0,31.0,-51.0,4.0,6153.0,28033.0,18.0,-77.0,4.0,6153.0,28031.0,21.0,-71.0,4.0,6153.0,28021.0,15.0,-83.0,4.0,0,1.52e+12,18,19.0,23.0,21.0,24.0,22.0,121.50187,31.284054,121.494429,31.278097,121.501757,31.285306,121.497323,31.285173,121.495261,31.288196,121.499699,31.276899,1,9.3,121.4998999,31.28494988,28,28,2,3,2,4,4,5
6172,22,6153,28032,31,-51,4,6362,30088,19,-75,4,6153.0,27912.0,30.0,-53.0,4.0,6153.0,28021.0,16.0,-81.0,4.0,6362.0,29949.0,19.0,-75.0,4.0,6153.0,27913.0,20.0,-73.0,4.0,1,1.53e+12,18,102.0,23.0,22.0,20.0,38.0,121.50187,31.284054,121.502488,31.283954,121.501757,31.285306,121.499699,31.276899,121.508039,31.286935,121.498646,31.28425,1,3.3,121.5030086,31.28369429,35,35,2,4,2,5,4,4
5865,22,6153,28032,31,-51,4,6153,27903,17,-79,4,6153.0,27913.0,18.0,-77.0,4.0,6153.0,28033.0,23.0,-67.0,4.0,6153.0,28031.0,20.0,-73.0,4.0,6153.0,27912.0,26.0,-61.0,4.0,1,1.53e+12,18,19.0,38.0,21.0,24.0,23.0,121.50187,31.284054,121.494429,31.278097,121.498646,31.28425,121.497323,31.285173,121.495261,31.288196,121.501757,31.285306,1,14.1,121.4998437,31.28493555,28,28,2,4,4,3,4,3
498,6,4199,29742,31,-51,4,4199,18638,21,-71,4,4199.0,12499.0,29.0,-55.0,4.0,4199.0,29743.0,24.0,-65.0,4.0,4199.0,29741.0,20.0,-73.0,4.0,4199.0,18539.0,19.0,-75.0,4.0,0,1.52e+12,12,10.0,1.0,27.0,14.0,13.0,121.495039,31.296587,121.492016,31.295198,121.485106,31.285941,121.493918,31.287768,121.495055,31.288492,121.499165,31.284763,1,25.9,121.4943344,31.28672782,53,53,2,4,2,3,4,4
2463,17,6362,29967,18,-77,4,6362,30074,17,-79,4,6362.0,29968.0,15.0,-83.0,4.0,6362.0,30075.0,18.0,-77.0,4.0,6305.0,17307.0,19.0,-75.0,4.0,6305.0,17154.0,17.0,-79.0,4.0,0,1.52e+12,47,48.0,52.0,40.0,49.0,68.0,121.511947,31.281646,121.51078,31.282514,121.504264,31.277168,121.505676,31.279911,121.510413,31.277189,121.513278,31.277067,1,4.9,121.5101522,31.27946348,3,3,4,4,5,4,4,4
1276,12,6153,28020,31,-51,4,6153,28033,23,-67,4,6153.0,27903.0,25.0,-63.0,4.0,6153.0,27902.0,26.0,-61.0,4.0,6153.0,28021.0,23.0,-67.0,4.0,6153.0,27913.0,24.0,-65.0,4.0,0,1.52e+12,25,21.0,19.0,37.0,22.0,38.0,121.498923,31.281691,121.497323,31.285173,121.494429,31.278097,121.503581,31.28534,121.499699,31.276899,121.498646,31.28425,1,23.4,121.4961667,31.28308511,2,2,2,3,3,3,3,3
5059,20,6153,28024,21,-71,4,6153,27913,16,-81,4,6153.0,28031.0,16.0,-81.0,4.0,6153.0,27902.0,17.0,-79.0,4.0,6153.0,28020.0,14.0,-85.0,4.0,6153.0,27905.0,16.0,-81.0,4.0,1,1.53e+12,89,38.0,24.0,37.0,25.0,87.0,121.494823,31.285815,121.498646,31.28425,121.495261,31.288196,121.503581,31.28534,121.498923,31.281691,121.486917,31.274206,1,28.5,121.4941684,31.28525422,34,34,4,5,5,4,5,5
2467,17,6362,29967,18,-77,4,6362,30074,16,-81,4,6362.0,29968.0,14.0,-85.0,4.0,6362.0,30075.0,18.0,-77.0,4.0,6305.0,17307.0,17.0,-79.0,4.0,6305.0,17154.0,17.0,-79.0,4.0,0,1.52e+12,47,48.0,52.0,40.0,49.0,68.0,121.511947,31.281646,121.51078,31.282514,121.504264,31.277168,121.505676,31.279911,121.510413,31.277189,121.513278,31.277067,1,4.9,121.5101522,31.27946348,3,3,4,5,5,4,4,4
5128,20,6153,28024,24,-65,4,6153,27913,19,-75,4,6153.0,28031.0,19.0,-75.0,4.0,6153.0,27902.0,16.0,-81.0,4.0,6153.0,28033.0,20.0,-73.0,4.0,6153.0,27911.0,16.0,-81.0,4.0,1,1.53e+12,89,38.0,24.0,37.0,21.0,43.0,121.494823,31.285815,121.498646,31.28425,121.495261,31.288196,121.503581,31.28534,121.497323,31.285173,121.498572,31.286194,1,9.8,121.4946161,31.28600261,11,11,3,4,4,5,4,5
6017,22,6153,27912,28,-57,4,6153,27903,17,-79,4,6153.0,27911.0,18.0,-77.0,4.0,6362.0,30073.0,14.0,-85.0,4.0,6153.0,28032.0,24.0,-65.0,4.0,6153.0,28021.0,14.0,-85.0,4.0,1,1.53e+12,23,19.0,43.0,55.0,18.0,22.0,121.501757,31.285306,121.494429,31.278097,121.498572,31.286194,121.507842,31.28561,121.50187,31.284054,121.499699,31.276899,1,33.7,121.5014442,31.28464066,58,58,2,4,4,5,3,5
4377,18,6153,27902,20,-73,4,6153,28020,19,-75,4,6153.0,27913.0,17.0,-79.0,4.0,6153.0,28033.0,22.0,-69.0,4.0,6153.0,27903.0,16.0,-81.0,4.0,6153.0,27911.0,14.0,-85.0,4.0,1,1.53e+12,37,25.0,38.0,21.0,19.0,43.0,121.503581,31.28534,121.498923,31.281691,121.498646,31.28425,121.497323,31.285173,121.494429,31.278097,121.498572,31.286194,1,37.6,121.495625,31.285728,1,1,4,4,4,3,5,5
505,6,4199,29742,31,-51,4,4199,18638,22,-69,4,4199.0,12499.0,28.0,-57.0,4.0,4199.0,29743.0,23.0,-67.0,4.0,4199.0,29741.0,20.0,-73.0,4.0,-1.0,0.0,-1.0,-1.0,-1.0,0,1.52e+12,12,10.0,1.0,27.0,14.0,-999.0,121.495039,31.296587,121.492016,31.295198,121.485106,31.285941,121.493918,31.287768,121.495055,31.288492,-999.0,-999.0,1,25.9,121.4943344,31.28672782,53,53,2,3,2,3,4,1
1587,15,6153,28033,29,-55,4,6153,28021,17,-79,4,6153.0,27902.0,21.0,-71.0,4.0,6153.0,27913.0,25.0,-63.0,4.0,6153.0,27903.0,19.0,-75.0,4.0,6362.0,30075.0,17.0,-79.0,4.0,0,1.51e+12,21,22.0,37.0,38.0,19.0,40.0,121.497323,31.285173,121.499699,31.276899,121.503581,31.28534,121.498646,31.28425,121.494429,31.278097,121.505676,31.279911,1,23.4,121.4968632,31.283775,17,17,2,4,4,3,4,4
4451,19,6153,28032,28,-57,4,6153,27912,27,-59,4,6153.0,27903.0,19.0,-75.0,4.0,6153.0,28021.0,18.0,-77.0,4.0,6153.0,28033.0,19.0,-75.0,4.0,6153.0,27913.0,17.0,-79.0,4.0,0,1.53e+12,18,23.0,19.0,22.0,21.0,38.0,121.50187,31.284054,121.501757,31.285306,121.494429,31.278097,121.499699,31.276899,121.497323,31.285173,121.498646,31.28425,1,46.7,121.5007955,31.28417698,58,58,2,2,4,4,4,4
