,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,Longitude,Latitude,gid
7764,25,6188,41092,25,-63,4,6188,41149,30,-53,4,6188.0,41148.0,25.0,-63.0,4.0,6188.0,41093.0,23.0,-67.0,4.0,6188.0,41124.0,19.0,-75.0,4.0,6188.0,41150.0,18.0,-77.0,4.0,1,1511175247948,25,23.0,28.0,79.0,26.0,53.0,121.217871,31.2808,121.214295,31.280418,121.218285,31.288788,121.206472,31.284913,121.212407,31.282261,121.2048,31.285646,121.20928677,31.28610546,29
11806,55,5198,42507,20,-73,4,5198,20609,16,-81,4,5198.0,42509.0,17.0,-79.0,4.0,0.0,0.0,15.0,-83.0,4.0,5198.0,42508.0,13.0,-87.0,4.0,5198.0,42518.0,20.0,-73.0,4.0,1,1524026589384,142,71.0,148.0,-999.0,146.0,139.0,121.221928,31.289447,121.220501,31.276284,121.223001,31.284943,-999.0,-999.0,121.226213,31.283596,121.218148,31.288526,121.20967257,31.28640243,10
11920,57,5198,42518,16,-81,4,5198,42519,16,-81,4,5198.0,42507.0,13.0,-87.0,4.0,5198.0,42517.0,14.0,-85.0,4.0,0.0,0.0,13.0,-87.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1524047212865,139,143.0,142.0,141.0,-999.0,-999.0,121.218148,31.288526,121.217792,31.288293,121.221928,31.289447,121.218883,31.292806,-999.0,-999.0,-999.0,-999.0,121.20874319,31.28535998,70
751,8,5198,38198,22,-69,4,5198,16058,14,-85,4,5198.0,16059.0,21.0,-71.0,4.0,5198.0,38197.0,17.0,-79.0,4.0,5198.0,16057.0,17.0,-79.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,2,1508920902452,38,31.0,36.0,64.0,63.0,-999.0,121.206769,31.28681,121.220639,31.281873,121.209767,31.284987,121.198321,31.29532,121.221136,31.293876,-999.0,-999.0,121.20355617,31.29300257,44
9221,32,5198,42507,22,-69,4,5198,44572,13,-87,4,5198.0,42508.0,15.0,-83.0,4.0,5198.0,42509.0,22.0,-69.0,4.0,5198.0,42518.0,22.0,-69.0,4.0,5198.0,42519.0,16.0,-81.0,4.0,2,1523364242851,142,144.0,146.0,148.0,139.0,143.0,121.221928,31.289447,121.228681,31.256506,121.226213,31.283596,121.223001,31.284943,121.218148,31.288526,121.217792,31.288293,121.20999066,31.28537033,103
1399,10,6188,25105,20,-73,4,6188,25089,17,-79,4,6188.0,27378.0,16.0,-81.0,4.0,6188.0,27394.0,15.0,-83.0,4.0,6182.0,41139.0,15.0,-83.0,4.0,6188.0,25090.0,15.0,-83.0,4.0,2,1509178900152,2,18.0,3.0,5.0,6.0,90.0,121.211975,31.276588,121.211975,31.276588,121.208284,31.289647,121.208105,31.289402,121.223131,31.287758,121.218437,31.276628,121.21640937,31.28491075,73
432,6,6188,26049,31,-51,4,6188,27394,31,-51,4,6188.0,26051.0,27.0,-59.0,4.0,6188.0,27378.0,22.0,-69.0,4.0,6188.0,27377.0,28.0,-57.0,4.0,6188.0,27393.0,22.0,-69.0,4.0,0,1508477537650,10,5.0,1.0,3.0,8.0,16.0,121.211928,31.288649,121.208105,31.289402,121.211928,31.288649,121.208284,31.289647,121.208284,31.289647,121.208105,31.289402,121.21254575,31.29057412,48
13285,69,5198,42507,18,-77,4,5198,42508,13,-87,4,5198.0,42518.0,10.0,-93.0,3.0,5198.0,42509.0,11.0,-91.0,3.0,5198.0,49989.0,10.0,-93.0,3.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1524303360432,142,146.0,139.0,148.0,145.0,-999.0,121.221928,31.289447,121.226213,31.283596,121.218148,31.288526,121.223001,31.284943,121.217371,31.291607,-999.0,-999.0,121.20991933,31.2842399,66
9384,32,5198,56688,29,-55,4,5198,49988,21,-71,4,5198.0,49989.0,20.0,-73.0,4.0,5198.0,42518.0,20.0,-73.0,4.0,0.0,0.0,16.0,-81.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,2,1523364425452,140,147.0,145.0,139.0,-999.0,-999.0,121.22677,31.297156,121.228847,31.298519,121.217371,31.291607,121.218148,31.288526,-999.0,-999.0,-999.0,-999.0,121.21296968,31.29100408,48
3175,13,6182,41233,27,-59,4,6182,44757,17,-79,4,6188.0,27393.0,20.0,-73.0,4.0,6188.0,27377.0,17.0,-79.0,4.0,6182.0,41235.0,20.0,-73.0,4.0,6182.0,44775.0,15.0,-83.0,4.0,2,1509265418592,11,44.0,16.0,8.0,12.0,48.0,121.217245,31.291334,121.213913,31.291614,121.208105,31.289402,121.208284,31.289647,121.206155,31.294312,121.223129,31.291293,121.20804078,31.29320162,125
