,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,conf,error,Longitude,Latitude,p_gid,gid,rss_level_1,rss_level_2,rss_level_3,rss_level_4,rss_level_5,rss_level_6
2567,17,6305,17274,31,-51,4,6305,17144,25,-63,4,6305.0,17146.0,17.0,-79.0,4.0,6362.0,29968.0,18.0,-77.0,4.0,6305.0,17179.0,16.0,-81.0,4.0,6362.0,29967.0,20.0,-73.0,4.0,0,1.52e+12,54,57.0,74.0,52.0,71.0,47.0,121.51148,31.278201,121.505035,31.283008,121.505542,31.273821,121.504264,31.277168,121.513832,31.276985,121.511947,31.281646,1,4.9,121.5101522,31.27946348,3,3,2,3,4,4,5,4
1664,15,6153,28033,31,-51,4,6153,27902,20,-73,4,6153.0,27913.0,25.0,-63.0,4.0,6153.0,28020.0,19.0,-75.0,4.0,6362.0,30075.0,18.0,-77.0,4.0,6362.0,29968.0,18.0,-77.0,4.0,0,1.51e+12,21,37.0,38.0,25.0,40.0,52.0,121.497323,31.285173,121.503581,31.28534,121.498646,31.28425,121.498923,31.281691,121.505676,31.279911,121.504264,31.277168,1,25.7,121.4969439,31.28375822,17,17,2,4,3,4,4,4
4412,18,6153,28033,27,-59,4,6153,28020,14,-85,4,6153.0,28031.0,20.0,-73.0,4.0,6153.0,27911.0,18.0,-77.0,4.0,6153.0,27902.0,16.0,-81.0,4.0,6153.0,27913.0,20.0,-73.0,4.0,1,1.53e+12,21,25.0,24.0,43.0,37.0,38.0,121.497323,31.285173,121.498923,31.281691,121.495261,31.288196,121.498572,31.286194,121.503581,31.28534,121.498646,31.28425,1,40.4,121.4954127,31.28537572,50,50,2,5,4,4,5,4
1767,15,6153,28032,26,-61,4,6153,27913,18,-77,4,6153.0,27903.0,21.0,-71.0,4.0,6153.0,27912.0,27.0,-59.0,4.0,6153.0,28021.0,16.0,-81.0,4.0,6362.0,41027.0,19.0,-75.0,4.0,0,1.51e+12,18,38.0,19.0,23.0,22.0,59.0,121.50187,31.284054,121.498646,31.28425,121.494429,31.278097,121.501757,31.285306,121.499699,31.276899,121.509291,31.286813,1,25.7,121.4969439,31.28375822,17,17,3,4,4,2,5,4
3090,17,6153,28021,31,-51,4,6153,27940,27,-59,4,6153.0,27913.0,25.0,-63.0,4.0,6153.0,27903.0,29.0,-55.0,4.0,6153.0,28032.0,24.0,-65.0,4.0,6153.0,27852.0,26.0,-61.0,4.0,0,1.52e+12,22,58.0,38.0,19.0,18.0,84.0,121.499699,31.276899,121.497584,31.27897,121.498646,31.28425,121.494429,31.278097,121.50187,31.284054,121.494492,31.278723,1,4.9,121.5101522,31.27946348,3,3,2,2,3,2,3,3
4108,18,6153,27930,18,-77,4,6153,27909,11,-91,3,6153.0,28028.0,16.0,-81.0,4.0,6153.0,27902.0,15.0,-83.0,4.0,6153.0,27903.0,12.0,-89.0,4.0,6153.0,28055.0,14.0,-85.0,4.0,1,1.53e+12,42,46.0,93.0,37.0,19.0,92.0,121.494086,31.282709,121.487106,31.272866,121.496234,31.288351,121.503581,31.28534,121.494429,31.278097,121.492476,31.281395,1,21.4,121.4973226,31.28787143,0,0,4,6,5,5,5,5
1165,10,4199,29752,23,-67,4,4199,29742,20,-73,4,4199.0,29753.0,28.0,-57.0,4.0,4199.0,18467.0,25.0,-63.0,4.0,4199.0,12499.0,18.0,-77.0,4.0,-1.0,0.0,-1.0,-1.0,-1.0,1,1.52e+12,6,12.0,5.0,2.0,1.0,-999.0,121.494757,31.284161,121.495039,31.296587,121.492659,31.283734,121.496847,31.283612,121.485106,31.285941,-999.0,-999.0,0,53.6,121.4954864,31.28408369,37,37,3,4,2,3,4,1
2792,17,6305,17144,21,-71,4,6362,29968,20,-73,4,6305.0,17274.0,21.0,-71.0,4.0,6153.0,27937.0,10.0,-93.0,3.0,6153.0,27913.0,11.0,-91.0,3.0,6362.0,29967.0,10.0,-93.0,3.0,0,1.52e+12,57,52.0,54.0,78.0,38.0,47.0,121.505035,31.283008,121.504264,31.277168,121.51148,31.278201,121.504202,31.277213,121.498646,31.28425,121.511947,31.281646,1,4.9,121.5101522,31.27946348,3,3,4,4,4,6,6,6
2949,17,6362,29977,27,-59,4,6362,29978,27,-59,4,6362.0,29966.0,15.0,-83.0,4.0,6362.0,30075.0,18.0,-77.0,4.0,6362.0,29968.0,19.0,-75.0,4.0,6153.0,27912.0,16.0,-81.0,4.0,0,1.52e+12,63,60.0,56.0,40.0,52.0,23.0,121.503721,31.281037,121.504101,31.283884,121.507277,31.283308,121.505676,31.279911,121.504264,31.277168,121.501757,31.285306,1,4.9,121.5101522,31.27946348,3,3,2,2,5,4,4,5
5646,22,6153,28033,26,-61,4,6153,27903,17,-79,4,6153.0,28020.0,18.0,-77.0,4.0,6153.0,28031.0,18.0,-77.0,4.0,6153.0,27902.0,21.0,-71.0,4.0,6153.0,27913.0,23.0,-67.0,4.0,1,1.53e+12,21,19.0,25.0,24.0,37.0,38.0,121.497323,31.285173,121.494429,31.278097,121.498923,31.281691,121.495261,31.288196,121.503581,31.28534,121.498646,31.28425,1,36.0,121.4975985,31.28467903,21,21,3,4,4,4,4,3
