,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,conf,error,Longitude,Latitude,p_gid,gid,rss_level_1,rss_level_2,rss_level_3,rss_level_4,rss_level_5,rss_level_6
7641,25,6188,41148,27,-59,4,6188,41092,26,-61,4,6188.0,41149.0,21.0,-71.0,4.0,6188.0,41122.0,25.0,-63.0,4.0,6182.0,41503.0,24.0,-65.0,4.0,6188.0,41091.0,21.0,-71.0,4.0,1,1511175116787,28,25.0,23.0,29.0,33.0,80.0,121.218285,31.288788,121.217871,31.2808,121.214295,31.280418,121.216448,31.2893,121.220505,31.290893,121.211384,31.291563,1,17.3,121.2120417,31.29005386,53,53,2,3,4,3,3,4
9215,32,5198,42507,26,-61,4,0,0,14,-85,4,5198.0,42508.0,16.0,-81.0,4.0,5198.0,42509.0,21.0,-71.0,4.0,5198.0,42518.0,20.0,-73.0,4.0,5198.0,42519.0,14.0,-85.0,4.0,2,1523364236136,142,-999.0,146.0,148.0,139.0,143.0,121.221928,31.289447,-999.0,-999.0,121.226213,31.283596,121.223001,31.284943,121.218148,31.288526,121.217792,31.288293,0,64.4,121.21004158,31.28511603,66,66,3,5,5,4,4,5
3871,14,6188,27393,25,-63,4,6188,27379,15,-83,4,6188.0,27395.0,17.0,-79.0,4.0,6182.0,41233.0,17.0,-79.0,4.0,6188.0,27377.0,24.0,-65.0,4.0,6188.0,26051.0,16.0,-81.0,4.0,1,1509266363558,16,37.0,4.0,11.0,8.0,1.0,121.208105,31.289402,121.208284,31.289647,121.208105,31.289402,121.217245,31.291334,121.208284,31.289647,121.211928,31.288649,1,23.4,121.20999813,31.29140973,84,84,3,5,4,4,3,5
4461,15,6188,26049,25,-63,4,6188,27393,25,-63,4,6188.0,26051.0,25.0,-63.0,4.0,6188.0,27394.0,23.0,-67.0,4.0,6188.0,27377.0,25.0,-63.0,4.0,6188.0,27378.0,20.0,-73.0,4.0,1,1509267793686,10,16.0,1.0,5.0,8.0,3.0,121.211928,31.288649,121.208105,31.289402,121.211928,31.288649,121.208105,31.289402,121.208284,31.289647,121.208284,31.289647,1,14.0,121.21329374,31.29218146,3,3,3,3,3,3,3,4
1145,9,6188,26050,29,-55,4,6188,27378,23,-67,4,6182.0,41139.0,24.0,-65.0,4.0,6188.0,27377.0,22.0,-69.0,4.0,6188.0,27314.0,19.0,-75.0,4.0,6188.0,26051.0,22.0,-69.0,4.0,2,1509179009450,7,3.0,6.0,8.0,52.0,1.0,121.211928,31.288649,121.208284,31.289647,121.223131,31.287758,121.208284,31.289647,121.218167,31.28458,121.211928,31.288649,1,15.2,121.2141634,31.28674638,110,110,2,3,3,3,4,3
10844,48,5198,42507,21,-71,4,0,0,12,-89,4,0.0,0.0,10.0,-93.0,3.0,5198.0,42509.0,12.0,-89.0,4.0,0.0,0.0,10.0,-93.0,3.0,-999.0,0.0,-999.0,-999.0,-999.0,0,1523871038463,142,-999.0,-999.0,148.0,-999.0,-999.0,121.221928,31.289447,-999.0,-999.0,-999.0,-999.0,121.223001,31.284943,-999.0,-999.0,-999.0,-999.0,1,14.4,121.20965947,31.2839234,24,24,4,5,6,5,6,8
12436,63,5198,56688,15,-83,4,5198,42518,6,-101,2,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0,1524189456333,140,139.0,-999.0,-999.0,-999.0,-999.0,121.22677,31.297156,121.218148,31.288526,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,19.7,121.21307451,31.28960175,99,99,5,7,8,8,8,8
6841,22,6188,41122,29,-55,4,6188,41092,28,-57,4,6188.0,41149.0,23.0,-67.0,4.0,6188.0,41148.0,29.0,-55.0,4.0,6188.0,41124.0,29.0,-55.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1510411747445,29,25.0,23.0,28.0,26.0,-999.0,121.216448,31.2893,121.217871,31.2808,121.214295,31.280418,121.218285,31.288788,121.212407,31.282261,-999.0,-999.0,1,39.3,121.2123499,31.29033729,53,53,2,2,3,2,2,8
10448,42,5198,43857,17,-79,4,5198,56689,19,-75,4,0.0,0.0,12.0,-89.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1523515088975,151,137.0,-999.0,-999.0,-999.0,-999.0,121.2145,31.290457,121.211317,31.291577,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,35.0,121.20457744,31.28692607,64,64,4,4,5,8,8,8
12459,63,5198,56688,13,-87,4,5198,42518,7,-99,2,5198.0,56689.0,6.0,-101.0,2.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0,1524189527358,140,139.0,137.0,-999.0,-999.0,-999.0,121.22677,31.297156,121.218148,31.288526,121.211317,31.291577,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,19.7,121.21307451,31.28960175,99,99,5,6,7,8,8,8
