,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,Longitude,Latitude,gid
5061,20,6153,28024,21,-71,4,6153,27913,16,-81,4,6153.0,28031.0,16.0,-81.0,4.0,6153.0,27902.0,18.0,-77.0,4.0,6153.0,28020.0,14.0,-85.0,4.0,6153.0,27905.0,15.0,-83.0,4.0,1,1.53e+12,89,38.0,24.0,37.0,25.0,87.0,121.494823,31.285815,121.498646,31.28425,121.495261,31.288196,121.503581,31.28534,121.498923,31.281691,121.486917,31.274206,121.4941684,31.28525422,34
3997,18,6153,27911,19,-75,4,6153,27913,10,-93,3,6362.0,30071.0,11.0,-91.0,3.0,6153.0,28031.0,20.0,-73.0,4.0,6153.0,28033.0,10.0,-93.0,3.0,0.0,0.0,9.0,-95.0,3.0,1,1.53e+12,43,38.0,64.0,24.0,21.0,-999.0,121.498572,31.286194,121.498646,31.28425,121.503121,31.288529,121.495261,31.288196,121.497323,31.285173,-999.0,-999.0,121.4984264,31.28824381,7
633,7,4199,29753,26,-61,4,4199,29752,23,-67,4,4199.0,18468.0,27.0,-59.0,4.0,4199.0,18469.0,25.0,-63.0,4.0,4199.0,18467.0,31.0,-51.0,4.0,4199.0,12499.0,22.0,-69.0,4.0,0,1.52e+12,5,6.0,17.0,11.0,2.0,1.0,121.492659,31.283734,121.494757,31.284161,121.497084,31.281895,121.496153,31.281763,121.496847,31.283612,121.485106,31.285941,121.4968838,31.28226504,46
1702,15,6153,27913,31,-51,4,6153,27902,22,-69,4,6153.0,28020.0,29.0,-55.0,4.0,6153.0,28021.0,31.0,-51.0,4.0,6153.0,28033.0,29.0,-55.0,4.0,6153.0,27903.0,24.0,-65.0,4.0,0,1.51e+12,38,37.0,25.0,22.0,21.0,19.0,121.498646,31.28425,121.503581,31.28534,121.498923,31.281691,121.499699,31.276899,121.497323,31.285173,121.494429,31.278097,121.4969439,31.28375822,17
272,0,4199,29753,26,-61,4,4199,18467,23,-67,4,4199.0,18469.0,12.0,-89.0,4.0,4199.0,29752.0,20.0,-73.0,4.0,4199.0,29742.0,13.0,-87.0,4.0,-1.0,0.0,-1.0,-1.0,-1.0,1,1.52e+12,5,2.0,11.0,6.0,12.0,-999.0,121.492659,31.283734,121.496847,31.283612,121.496153,31.281763,121.494757,31.284161,121.495039,31.296587,-999.0,-999.0,121.4952173,31.28357381,59
4759,19,6153,28033,24,-65,4,6153,27902,21,-71,4,6153.0,27911.0,15.0,-83.0,4.0,6153.0,28031.0,14.0,-85.0,4.0,6153.0,27903.0,17.0,-79.0,4.0,6153.0,27913.0,20.0,-73.0,4.0,0,1.53e+12,21,37.0,43.0,24.0,19.0,38.0,121.497323,31.285173,121.503581,31.28534,121.498572,31.286194,121.495261,31.288196,121.494429,31.278097,121.498646,31.28425,121.4971162,31.28430416,17
5336,21,4199,29742,24,-65,4,4199,12499,20,-73,4,4199.0,29752.0,24.0,-65.0,4.0,4199.0,29753.0,18.0,-77.0,4.0,4199.0,29712.0,16.0,-81.0,4.0,4199.0,18539.0,16.0,-81.0,4.0,1,1.53e+12,12,1.0,6.0,5.0,15.0,13.0,121.495039,31.296587,121.485106,31.285941,121.494757,31.284161,121.492659,31.283734,121.49169,31.290129,121.499165,31.284763,121.495909,31.2861376,1
5583,22,6153,28033,30,-53,4,6153,27903,23,-67,4,6153.0,28021.0,21.0,-71.0,4.0,6153.0,27902.0,26.0,-61.0,4.0,6153.0,27913.0,26.0,-61.0,4.0,6153.0,28020.0,20.0,-73.0,4.0,1,1.53e+12,21,19.0,22.0,37.0,38.0,25.0,121.497323,31.285173,121.494429,31.278097,121.499699,31.276899,121.503581,31.28534,121.498646,31.28425,121.498923,31.281691,121.4970886,31.28434984,17
5962,22,6153,28032,26,-61,4,6153,27903,18,-77,4,6153.0,28021.0,16.0,-81.0,4.0,6153.0,27912.0,25.0,-63.0,4.0,6153.0,27911.0,16.0,-81.0,4.0,6153.0,28033.0,13.0,-87.0,4.0,1,1.53e+12,18,19.0,22.0,23.0,43.0,21.0,121.50187,31.284054,121.494429,31.278097,121.499699,31.276899,121.501757,31.285306,121.498572,31.286194,121.497323,31.285173,121.5007535,31.28485625,44
4643,19,6153,27913,26,-61,4,6153,28021,12,-89,4,6153.0,28033.0,26.0,-61.0,4.0,6153.0,27902.0,16.0,-81.0,4.0,6153.0,27911.0,22.0,-69.0,4.0,6153.0,28031.0,22.0,-69.0,4.0,0,1.53e+12,38,22.0,21.0,37.0,43.0,24.0,121.498646,31.28425,121.499699,31.276899,121.497323,31.285173,121.503581,31.28534,121.498572,31.286194,121.495261,31.288196,121.4983719,31.28477743,21
5986,22,6153,28032,25,-63,4,6153,27903,16,-81,4,6153.0,28021.0,16.0,-81.0,4.0,6153.0,27912.0,28.0,-57.0,4.0,6153.0,27911.0,18.0,-77.0,4.0,6362.0,30073.0,13.0,-87.0,4.0,1,1.53e+12,18,19.0,22.0,23.0,43.0,55.0,121.50187,31.284054,121.494429,31.278097,121.499699,31.276899,121.501757,31.285306,121.498572,31.286194,121.507842,31.28561,121.5010697,31.28471698,44
4162,18,6153,27907,19,-75,4,6153,28031,15,-83,4,0.0,0.0,8.0,-97.0,3.0,6153.0,27904.0,10.0,-93.0,3.0,6153.0,28027.0,16.0,-81.0,4.0,0.0,0.0,8.0,-97.0,3.0,1,1.53e+12,94,24.0,-999.0,41.0,44.0,-999.0,121.485932,31.273071,121.495261,31.288196,-999.0,-999.0,121.493407,31.287705,121.496665,31.287575,-999.0,-999.0,121.4970493,31.28743596,0
4151,18,6153,28027,17,-79,4,6153,28020,12,-89,4,6153.0,28031.0,15.0,-83.0,4.0,0.0,0.0,10.0,-93.0,3.0,0.0,0.0,10.0,-93.0,3.0,6153.0,27907.0,19.0,-75.0,4.0,1,1.53e+12,44,25.0,24.0,-999.0,-999.0,94.0,121.496665,31.287575,121.498923,31.281691,121.495261,31.288196,-999.0,-999.0,-999.0,-999.0,121.485932,31.273071,121.4970932,31.28746001,0
1550,14,6153,28033,30,-53,4,6153,27903,22,-69,4,6153.0,28020.0,26.0,-61.0,4.0,6153.0,27913.0,26.0,-61.0,4.0,6153.0,28033.0,26.0,-61.0,4.0,6153.0,27902.0,19.0,-75.0,4.0,1,1.51e+12,21,19.0,25.0,38.0,21.0,37.0,121.497323,31.285173,121.494429,31.278097,121.498923,31.281691,121.498646,31.28425,121.497323,31.285173,121.503581,31.28534,121.4972704,31.28375702,17
1513,14,6153,28032,19,-75,4,6153,28021,20,-73,4,6153.0,27903.0,22.0,-69.0,4.0,6153.0,27912.0,25.0,-63.0,4.0,6153.0,27913.0,23.0,-67.0,4.0,6153.0,28033.0,19.0,-75.0,4.0,1,1.51e+12,18,22.0,19.0,23.0,38.0,21.0,121.50187,31.284054,121.499699,31.276899,121.494429,31.278097,121.501757,31.285306,121.498646,31.28425,121.497323,31.285173,121.5012035,31.28459751,58
1815,15,6362,29978,26,-61,4,6153,28032,20,-73,4,6305.0,17144.0,19.0,-75.0,4.0,6153.0,27912.0,21.0,-71.0,4.0,6362.0,29977.0,21.0,-71.0,4.0,6362.0,29966.0,18.0,-77.0,4.0,0,1.51e+12,60,18.0,57.0,23.0,63.0,56.0,121.504101,31.283884,121.50187,31.284054,121.505035,31.283008,121.501757,31.285306,121.503721,31.281037,121.507277,31.283308,121.4969439,31.28375822,17
